species_representative,mgnify_accesssion,ena_accession,status,reference_genes,core_genes,perc_core_genes,accessory_genes,pangenome_size,number_snvs,geo_diversity,num_genomes_HBC,num_genomes_NCBI,num_genomes_CGR,num_genomes_PATRIC,num_genomes_EBI,num_genomes_HGM,num_genomes_CIBIO,num_ANI97,num_ANI99,num_genomes_total,num_genomes_nonredundant,num_genomes_nearcomplete,num_samples,tax_GTDB,tax_NCBI
GUT_GENOME093605,MGYG-HGUT-01224,ERS3639254,Uncultured,2557,NA,NA,NA,NA,34391,0,0,0,0,0,2,2,3,1,3,7,3,2,3,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__
GUT_GENOME093609,MGYG-HGUT-01225,ERS3639255,Uncultured,1958,NA,NA,NA,NA,193963,1.68,0,0,0,0,45,33,55,27,96,133,83,0,83,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Ruminiclostridium_C;s__,d__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__
GUT_GENOME093619,MGYG-HGUT-01226,ERS3639256,Uncultured,2508,NA,NA,NA,NA,NA,0.67,0,0,0,0,0,1,1,2,2,2,2,1,2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
GUT_GENOME093646,MGYG-HGUT-01227,ERS3639257,Uncultured,1652,NA,NA,NA,NA,974,0,0,0,0,0,0,1,2,2,2,3,2,1,2,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
GUT_GENOME093688,MGYG-HGUT-01228,ERS3639258,Uncultured,1693,NA,NA,NA,NA,17942,0,0,0,0,0,2,2,3,1,2,7,3,1,3,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__CAG-110;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
GUT_GENOME093693,MGYG-HGUT-01229,ERS3639259,Cultured (unknown),1945,NA,NA,NA,NA,9444,0.67,0,0,0,0,1,1,6,3,8,8,8,0,8,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__D5;s__D5 sp900113995,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
GUT_GENOME093746,MGYG-HGUT-01230,ERS3639260,Uncultured,1590,1303,81.95,2203,3506,180204,1.07,0,0,0,0,5,19,33,18,45,57,41,18,41,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__
GUT_GENOME093753,MGYG-HGUT-01231,ERS3639261,Uncultured,1724,NA,NA,NA,NA,190,0,0,0,0,0,0,1,2,2,2,3,2,1,2,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__QAMH01;g__QAMH01;s__,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__;f__;g__;s__
GUT_GENOME093820,MGYG-HGUT-01232,ERS3639262,Uncultured,1913,NA,NA,NA,NA,36,0,0,0,0,0,1,1,1,1,1,3,1,1,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridium_U;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__
GUT_GENOME093902,MGYG-HGUT-01233,ERS3639263,Uncultured,1351,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,2,1,0,1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__CAG-1427;s__,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Eggerthellales;f__Eggerthellaceae;g__Eggerthella;s__
GUT_GENOME093910,MGYG-HGUT-01234,ERS3639264,Uncultured,1499,NA,NA,NA,NA,15240,0.66,0,0,0,0,0,1,4,2,4,5,4,3,4,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Peptostreptococcus;s__
GUT_GENOME093918,MGYG-HGUT-01235,ERS3639265,Uncultured,1130,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Helcococcaceae;g__Parvimonas;s__,d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__
GUT_GENOME094042,MGYG-HGUT-01236,ERS3639266,Cultured (unknown),1615,NA,NA,NA,NA,119267,1.21,0,0,0,0,7,2,16,15,21,25,23,4,23,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella bouchesdurhonensis,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
GUT_GENOME094063,MGYG-HGUT-01237,ERS3639267,Uncultured,2373,NA,NA,NA,NA,87486,0.31,0,0,0,0,2,4,17,7,18,23,18,6,18,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
GUT_GENOME094066,MGYG-HGUT-01238,ERS3639268,Uncultured,2514,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,2,2,1,0,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Ruminiclostridium_C;s__,d__Bacteria;p__Firmicutes;c__;o__;f__;g__;s__
GUT_GENOME094068,MGYG-HGUT-01239,ERS3639269,Uncultured,1547,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,2,1,1,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__CAG-1000;g__CAG-776;s__,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__
GUT_GENOME094099,MGYG-HGUT-01240,ERS3639270,Uncultured,1884,NA,NA,NA,NA,50988,0.96,0,0,0,0,1,0,10,2,7,11,11,0,11,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__
GUT_GENOME094102,MGYG-HGUT-01241,ERS3639271,Uncultured,1610,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__
GUT_GENOME094321,MGYG-HGUT-01242,ERS3639272,Uncultured,1688,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__;s__
GUT_GENOME094468,MGYG-HGUT-01243,ERS3639273,Uncultured,2353,NA,NA,NA,NA,46284,0,0,0,0,0,0,3,3,1,4,6,3,2,3,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UBA1777;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
GUT_GENOME094508,MGYG-HGUT-01244,ERS3639274,Uncultured,1661,1215,73.15,5814,7029,178657,1.07,0,0,0,0,12,26,62,31,84,100,86,30,86,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__;s__
GUT_GENOME094594,MGYG-HGUT-01245,ERS3639275,Uncultured,1255,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,2,1,0,1,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__
GUT_GENOME094660,MGYG-HGUT-01246,ERS3639276,Uncultured,2560,1642,64.14,8676,10318,170270,1.37,0,0,0,0,44,23,44,12,71,111,88,45,88,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
GUT_GENOME094675,MGYG-HGUT-01247,ERS3639277,Uncultured,2599,NA,NA,NA,NA,44394,0.84,0,0,0,0,10,6,11,1,15,27,18,8,18,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__
GUT_GENOME094708,MGYG-HGUT-01248,ERS3639278,Uncultured,1839,1236,67.21,2159,3395,61775,1.02,0,0,0,0,5,8,17,2,19,30,21,18,21,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__
GUT_GENOME094850,MGYG-HGUT-01249,ERS3639279,Cultured (unknown),1390,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,2,1,0,1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella provencensis,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella provencensis
GUT_GENOME094927,MGYG-HGUT-01250,ERS3639280,Uncultured,2102,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,1,2,1,1,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
GUT_GENOME094937,MGYG-HGUT-01251,ERS3639281,Cultured (animal),2950,NA,NA,NA,NA,390,0.65,0,0,0,0,0,1,2,1,2,3,2,1,2,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_A;s__Lachnoclostridium_A sp002160755,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Lachnoclostridium;s__
GUT_GENOME094938,MGYG-HGUT-01252,ERS3639282,Uncultured,2124,NA,NA,NA,NA,5880,0.44,0,0,0,0,1,2,2,1,4,5,4,0,4,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__
GUT_GENOME094995,MGYG-HGUT-01253,ERS3639283,Uncultured,1908,NA,NA,NA,NA,11742,0,0,0,0,0,0,2,2,1,3,4,2,0,2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689535,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__;s__
GUT_GENOME095001,MGYG-HGUT-01254,ERS3639284,Uncultured,2657,NA,NA,NA,NA,46606,0.62,0,0,0,0,0,2,5,1,5,7,5,3,5,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TF01-11;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
GUT_GENOME095021,MGYG-HGUT-01255,ERS3639285,Cultured (unknown),2206,1401,63.51,2805,4206,159729,1.33,0,0,0,0,10,4,40,7,40,54,43,13,43,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_F,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii
GUT_GENOME095045,MGYG-HGUT-01256,ERS3639286,Uncultured,1698,NA,NA,NA,NA,176186,0.7,0,0,0,0,32,27,113,14,78,172,126,0,131,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-354;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__
GUT_GENOME095083,MGYG-HGUT-01257,ERS3639287,Cultured (animal),2136,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Massiliomicrobiota;s__Massiliomicrobiota timonensis,d__Bacteria;p__Firmicutes;c__Erysipelotrichia;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Massiliomicrobiota;s__Massiliomicrobiota timonensis
GUT_GENOME095186,MGYG-HGUT-01258,ERS3639288,Uncultured,1691,NA,NA,NA,NA,44656,0,0,0,0,0,2,2,18,3,10,22,17,9,18,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__
GUT_GENOME095206,MGYG-HGUT-01259,ERS3639289,Uncultured,1837,NA,NA,NA,NA,5653,0.85,0,0,0,0,3,0,2,1,2,5,5,3,5,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Succiniclasticum;s__Succiniclasticum sp900316935,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__;s__
GUT_GENOME095230,MGYG-HGUT-01260,ERS3639290,Cultured (unknown),2837,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii
GUT_GENOME095246,MGYG-HGUT-01261,ERS3639291,Uncultured,4669,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__
GUT_GENOME095247,MGYG-HGUT-01262,ERS3639292,Cultured (unknown),3467,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,1,1,2,2,2,2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas ginsenosidimutans,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
GUT_GENOME095248,MGYG-HGUT-01263,ERS3639293,Cultured (unknown),5254,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax_D;s__Acidovorax_D sp000302535,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__
GUT_GENOME095250,MGYG-HGUT-01264,ERS3639294,Cultured (unknown),3163,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax_D;s__Acidovorax_D temperans,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__;s__
GUT_GENOME095287,MGYG-HGUT-01265,ERS3639295,Uncultured,4208,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,1,1,2,2,0,2,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium sp002778835,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methylobacteriaceae;g__Methylobacterium;s__
GUT_GENOME095296,MGYG-HGUT-01266,ERS3639296,Cultured (unknown),3988,NA,NA,NA,NA,16636,0.53,0,0,0,0,1,1,1,1,3,3,3,1,3,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Atlantibacter;s__Atlantibacter hermannii,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__;s__
GUT_GENOME095310,MGYG-HGUT-01267,ERS3639297,Uncultured,1106,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Lancefieldella;s__,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__
GUT_GENOME095336,MGYG-HGUT-01268,ERS3639298,Uncultured,1546,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa_B,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa
GUT_GENOME095352,MGYG-HGUT-01269,ERS3639299,Uncultured,1718,NA,NA,NA,NA,83690,0.93,0,0,0,0,3,1,3,5,6,7,5,1,5,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia;s__Rothia mucilaginosa
GUT_GENOME095357,MGYG-HGUT-01270,ERS3639300,Uncultured,2065,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__
GUT_GENOME095377,MGYG-HGUT-01271,ERS3639301,Uncultured,1823,NA,NA,NA,NA,30348,0.68,0,0,0,0,0,2,7,4,8,9,7,2,7,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__UBA644;g__UBA644;s__UBA644 sp002299265,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
GUT_GENOME095426,MGYG-HGUT-01272,ERS3639302,Uncultured,1261,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__4C28d-15;f__CAG-727;g__;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
GUT_GENOME095471,MGYG-HGUT-01273,ERS3639303,Uncultured,1908,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
GUT_GENOME095490,MGYG-HGUT-01274,ERS3639304,Uncultured,1246,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
GUT_GENOME095503,MGYG-HGUT-01275,ERS3639305,Uncultured,2387,NA,NA,NA,NA,NA,0.67,0,0,0,0,0,0,2,2,2,2,2,2,2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp900321585,d__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__
GUT_GENOME095515,MGYG-HGUT-01276,ERS3639306,Cultured (unknown),3672,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium limosum
GUT_GENOME095520,MGYG-HGUT-01277,ERS3639307,Uncultured,2891,NA,NA,NA,NA,6314,0.68,0,0,0,0,0,0,3,1,3,3,3,2,3,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__
GUT_GENOME095591,MGYG-HGUT-01278,ERS3639308,Cultured (unknown),726,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__DNF00809;s__DNF00809 sp001552935,d__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__;g__;s__
GUT_GENOME095592,MGYG-HGUT-01279,ERS3639309,Cultured (unknown),4350,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E fulva,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__
GUT_GENOME095596,MGYG-HGUT-01280,ERS3639310,Uncultured,1253,NA,NA,NA,NA,51,0.62,0,0,0,0,1,0,4,2,3,5,5,0,5,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__;s__
GUT_GENOME095597,MGYG-HGUT-01281,ERS3639311,Cultured (human),1317,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,2,1,2,2,2,1,2,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__28L;s__28L sp000177555,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__
GUT_GENOME095599,MGYG-HGUT-01282,ERS3639312,Cultured (unknown),1063,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__Gemella haemolysans_B,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__;g__Gemella;s__Gemella haemolysans
GUT_GENOME095609,MGYG-HGUT-01283,ERS3639313,Cultured (unknown),1219,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Scardovia;s__Scardovia wiggsiae
GUT_GENOME095650,MGYG-HGUT-01284,ERS3639314,Uncultured,1695,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,0,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
GUT_GENOME095685,MGYG-HGUT-01285,ERS3639315,Uncultured,1974,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__
GUT_GENOME095707,MGYG-HGUT-01286,ERS3639316,Uncultured,2488,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__;s__,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__;s__
GUT_GENOME095712,MGYG-HGUT-01287,ERS3639317,Cultured (human),1255,NA,NA,NA,NA,12691,0.5,0,0,0,0,0,1,8,2,6,9,8,2,8,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_G,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella;s__Gardnerella vaginalis
GUT_GENOME095850,MGYG-HGUT-01288,ERS3639318,Cultured (human),1712,NA,NA,NA,NA,NA,0.65,0,0,0,0,1,0,1,2,2,2,2,1,2,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella dispar
